Date,CCI30,ETHUSD,BTCUSD,XRPUSD,BCHUSD,ADAUSD
"Feb 3, 2018",$10181.53,$964.02,"$9,174.91",$0.92,"$1,272.50",$0.44
"Feb 4, 2018",$10713.17,$834.68,"$8,277.01",$0.82,"$1,165.38",$0.38
"Feb 5, 2018",$9420.41,$697.95,"$6,955.27",$0.69,$887.41,$0.33
"Feb 6, 2018",$7836.37,$793.12,"$7,754.00",$0.78,$974.53,$0.37
"Feb 7, 2018",$8892.45,$757.07,"$7,621.30",$0.72,$957.96,$0.34
"Feb 8, 2018",$8520.46,$817.81,"$8,265.59",$0.81,"$1,284.56",$0.36
"Feb 9, 2018",$9487.49,$883.87,"$8,736.98",$0.95,"$1,312.11",$0.39
"Feb 10, 2018",$10419.08,$860.42,"$8,621.90",$1.07,"$1,257.31",$0.41
"Feb 11, 2018",$10227.69,$814.66,"$8,129.97",$1.00,"$1,217.64",$0.37
"Feb 12, 2018",$9607.98,$868.71,"$8,926.57",$1.08,"$1,283.91",$0.38
"Feb 13, 2018",$10340.41,$845.26,"$8,598.31",$1.03,"$1,231.98",$0.37
"Feb 14, 2018",$10052.36,$923.56,"$9,494.63",$1.14,"$1,362.27",$0.40
"Feb 15, 2018",$11130.82,$936.98,"$10,166.40",$1.15,"$1,375.81",$0.41
"Feb 16, 2018",$11495.07,$944.21,"$10,233.90",$1.14,"$1,552.20",$0.40
"Feb 17, 2018",$11729.00,$974.12,"$11,112.70",$1.20,"$1,551.39",$0.42
"Feb 18, 2018",$12297.96,$923.92,"$10,551.80",$1.12,"$1,487.46",$0.39
"Feb 19, 2018",$11461.49,$943.87,"$11,225.30",$1.14,"$1,534.77",$0.39
"Feb 20, 2018",$11961.53,$895.37,"$11,403.70",$1.09,"$1,418.73",$0.38
"Feb 21, 2018",$11376.10,$849.97,"$10,690.40",$1.02,"$1,308.46",$0.36
"Feb 22, 2018",$10785.17,$812.85,"$10,005.00",$0.94,"$1,219.49",$0.34
"Feb 23, 2018",$10036.35,$864.19,"$10,301.10",$1.00,"$1,270.71",$0.35
"Feb 24, 2018",$10593.36,$840.52,"$9,813.07",$0.95,"$1,193.27",$0.32
"Feb 25, 2018",$10161.05,$844.81,"$9,664.73",$0.94,"$1,178.10",$0.34
"Feb 26, 2018",$10163.76,$869.32,"$10,366.70",$0.96,"$1,250.56",$0.34
"Feb 27, 2018",$10619.74,$878.27,"$10,725.60",$0.95,"$1,246.66",$0.34
"Feb 28, 2018",$10728.88,$855.20,"$10,397.90",$0.90,"$1,204.16",$0.31
"Mar 1, 2018",$10214.05,$872.20,"$10,951.00",$0.93,"$1,291.92",$0.30
"Mar 2, 2018",$10659.01,$856.85,"$11,086.40",$0.91,"$1,275.18",$0.29
"Mar 3, 2018",$10509.10,$857.23,"$11,489.70",$0.91,"$1,270.38",$0.30
"Mar 4, 2018",$10511.30,$866.68,"$11,512.60",$1.01,"$1,289.08",$0.30
"Mar 5, 2018",$10694.32,$853.68,"$11,573.30",$0.96,"$1,268.03",$0.30
"Mar 6, 2018",$10487.23,$816.95,"$10,779.90",$0.92,"$1,206.04",$0.29
"Mar 7, 2018",$9888.27,$752.83,"$9,965.57",$0.87,"$1,092.16",$0.25
"Mar 8, 2018",$9066.56,$704.60,"$9,395.01",$0.83,"$1,040.21",$0.22
"Mar 9, 2018",$8501.14,$728.92,"$9,337.55",$0.85,"$1,067.02",$0.22
"Mar 10, 2018",$8663.29,$686.89,"$8,866.00",$0.80,"$1,005.93",$0.21
"Mar 11, 2018",$8132.15,$723.34,"$9,578.63",$0.83,"$1,145.17",$0.22
"Mar 12, 2018",$8710.48,$699.83,"$9,205.12",$0.80,"$1,051.28",$0.22
"Mar 13, 2018",$8335.28,$690.83,"$9,194.85",$0.79,"$1,064.03",$0.22
"Mar 14, 2018",$8401.10,$614.29,"$8,269.81",$0.70,$949.47,$0.20
"Mar 15, 2018",$7441.02,$611.30,"$8,300.86",$0.70,$943.64,$0.19
"Mar 16, 2018",$7367.98,$601.67,"$8,338.35",$0.69,$977.04,$0.18
"Mar 17, 2018",$7293.89,$552.78,"$7,916.88",$0.64,$949.78,$0.15
"Mar 18, 2018",$6742.46,$538.64,"$8,223.68",$0.66,$938.12,$0.16
"Mar 19, 2018",$6989.99,$556.73,"$8,630.65",$0.75,$994.68,$0.20
"Mar 20, 2018",$7515.71,$557.18,"$8,913.47",$0.71,"$1,059.12",$0.20
"Mar 21, 2018",$7784.64,$561.73,"$8,929.28",$0.69,"$1,033.45",$0.21
"Mar 22, 2018",$7761.70,$539.70,"$8,728.47",$0.66,"$1,011.52",$0.20
"Mar 23, 2018",$7561.78,$539.62,"$8,879.62",$0.64,"$1,019.43",$0.19
"Mar 24, 2018",$7631.93,$526.44,"$8,668.12",$0.64,$982.30,$0.19
"Mar 25, 2018",$7454.98,$524.29,"$8,495.78",$0.64,$966.88,$0.18
"Mar 26, 2018",$7423.74,$489.95,"$8,209.40",$0.60,$919.25,$0.17
"Mar 27, 2018",$6997.70,$450.12,"$7,833.04",$0.58,$876.33,$0.15
"Mar 28, 2018",$6618.57,$446.28,"$7,954.48",$0.58,$860.52,$0.16
"Mar 29, 2018",$6718.57,$385.97,"$7,165.70",$0.51,$714.27,$0.15
"Mar 30, 2018",$5941.71,$394.65,"$6,890.52",$0.51,$697.01,$0.15
"Mar 31, 2018",$5874.26,$396.46,"$6,973.53",$0.51,$685.25,$0.16
"Apr 1, 2018",$5887.16,$379.61,"$6,844.23",$0.49,$643.03,$0.15
"Apr 2, 2018",$5663.25,$386.43,"$7,083.80",$0.50,$662.77,$0.16
"Apr 3, 2018",$5935.86,$416.89,"$7,456.11",$0.56,$712.88,$0.17
"Apr 4, 2018",$6409.15,$380.54,"$6,853.84",$0.50,$649.20,$0.16
"Apr 5, 2018",$5791.62,$383.23,"$6,811.47",$0.50,$646.04,$0.15
"Apr 6, 2018",$5831.59,$370.29,"$6,636.32",$0.48,$610.43,$0.14
"Apr 7, 2018",$5648.86,$385.31,"$6,911.09",$0.49,$640.35,$0.15
"Apr 8, 2018",$5871.78,$400.51,"$7,023.52",$0.50,$655.26,$0.16
"Apr 9, 2018",$6013.22,$398.53,"$6,770.73",$0.49,$637.03,$0.15
"Apr 10, 2018",$5897.03,$414.24,"$6,834.76",$0.49,$649.62,$0.16
"Apr 11, 2018",$6016.30,$430.54,"$6,968.32",$0.54,$666.58,$0.17
"Apr 12, 2018",$6312.98,$492.94,"$7,889.25",$0.63,$734.48,$0.21
"Apr 13, 2018",$7159.12,$492.74,"$7,895.96",$0.64,$738.30,$0.20
"Apr 14, 2018",$7117.43,$501.48,"$7,986.24",$0.63,$738.99,$0.20
"Apr 15, 2018",$7237.75,$531.70,"$8,329.11",$0.68,$780.83,$0.22
"Apr 16, 2018",$7678.85,$511.15,"$8,058.67",$0.66,$766.47,$0.26
"Apr 17, 2018",$7557.03,$502.89,"$7,902.09",$0.66,$757.59,$0.24
"Apr 18, 2018",$7466.87,$524.79,"$8,163.42",$0.71,$888.91,$0.26
"Apr 19, 2018",$8030.57,$567.89,"$8,294.31",$0.79,$968.64,$0.27
"Apr 20, 2018",$8439.76,$615.72,"$8,845.83",$0.92,"$1,128.02",$0.30
"Apr 21, 2018",$9195.35,$605.40,"$8,895.58",$0.87,"$1,154.69",$0.29
"Apr 22, 2018",$8957.66,$621.86,"$8,802.46",$0.87,"$1,201.22",$0.29
"Apr 23, 2018",$8984.65,$642.55,"$8,930.88",$0.88,"$1,432.26",$0.29
"Apr 24, 2018",$9427.33,$708.16,"$9,697.50",$0.93,"$1,426.42",$0.31
"Apr 25, 2018",$10215.49,$615.42,"$8,845.74",$0.80,"$1,284.79",$0.27
"Apr 26, 2018",$9121.31,$662.81,"$9,281.51",$0.85,"$1,420.41",$0.29
"Apr 27, 2018",$9828.72,$647.03,"$8,987.05",$0.81,"$1,337.85",$0.29
"Apr 28, 2018",$9502.82,$683.68,"$9,348.48",$0.86,"$1,396.25",$0.36
"Apr 29, 2018",$10324.16,$688.88,"$9,419.08",$0.87,"$1,440.30",$0.37
"Apr 30, 2018",$10661.25,$669.92,"$9,240.55",$0.84,"$1,350.05",$0.34
"May 1, 2018",$10180.25,$673.61,"$9,119.01",$0.84,"$1,351.28",$0.36